signal_1;signal_2
1448381278323;45.2
1448381278403;44.5
1448381278471;45.5
1448381278542;44.6
1448381278612;44.5
1448381278682;45.1
1448381278752;44.6
1448381278822;44.8
1448381278892;45.0
1448381278972;44.6
1448381279043;45.0
1448381279112;44.8
1448381279182;45.0
1448381279252;44.5
1448381279282;44.9
1448381279352;45.1
1448381279431;44.6
1448381279511;45.6
1448381279602;45.1
1448381279671;45.5
1448381279741;44.6
1448381279811;45.6
1448381279882;45.2
1448381279952;45.7
1448381280032;45.3
1448381280112;45.6
1448381280182;44.8
1448381280251;45.7
1448381280292;45.0
1448381280321;45.0
1448381280349;44.9
1448381280394;44.9
1448381280462;45.3
1448381280532;45.7
1448381280602;45.2
1448381280671;44.8
1448381280742;45.2
1448381280812;45.6
1448381280882;45.3
1448381280952;45.1
1448381281022;45.6
1448381281092;45.5
1448381281162;44.9
1448381281232;45.3
1448381281303;45.5
1448381281342;44.6
1448381281411;45.2
1448381281493;45.5
1448381281562;45.0
1448381281631;45.5
1448381281717;46.2
1448381281792;45.1
1448381281862;45.2
1448381281932;45.7
1448381282002;45.0
1448381282072;45.9
1448381282142;45.3
1448381282232;45.9
1448381282312;45.0
1448381282352;45.6
1448381282422;45.2
1448381282502;45.1
1448381282572;45.2
1448381282641;45.3
1448381282722;45.2
1448381282803;45.5
1448381282881;45.0
1448381282962;45.8
1448381283032;46.1
1448381283103;45.9
1448381283172;45.5
1448381283242;46.1
1448381283322;45.3
1448381283392;45.2
1448381283462;45.3
1448381283532;45.5
1448381283601;45.1
1448381283672;46.1
1448381283742;45.3
1448381283822;45.5
1448381283902;46.1
1448381283982;46.2
1448381284062;45.7
1448381284142;45.8
1448381284212;46.2
1448381284282;45.8
1448381284362;45.5
1448381284431;45.7
1448381284502;45.5
1448381284572;45.7
1448381284641;45.5
1448381284712;45.7
1448381284792;45.2
1448381284882;46.1
1448381284962;46.3
1448381285032;45.2
1448381285102;46.5
1448381285173;45.9
1448381285242;46.1
1448381285312;45.3
1448381285392;45.5
1448381285463;45.1
1448381285532;46.4
1448381285602;45.7
1448381285671;45.5
1448381285743;45.9
1448381285813;46.5
1448381285882;46.1
1448381285951;45.6
1448381286021;45.5
1448381286092;45.6
1448381286161;46.2
1448381286242;45.7
1448381286313;45.6
1448381286382;45.5
1448381286452;45.7
1448381286492;45.8
1448381286562;46.3
1448381286631;45.6
1448381286702;45.9
1448381286772;45.8
1448381286842;46.1
1448381286912;46.1
1448381286992;46.3
1448381287072;45.6
1448381287142;45.7
1448381287213;46.5
1448381287281;46.7
1448381287353;45.7
1448381287421;46.1
1448381287492;45.5
1448381287563;45.7
1448381287632;46.9
1448381287702;45.5
1448381287782;45.8
1448381287863;45.7
1448381287932;45.8
1448381288012;45.9
1448381288083;46.7
1448381288152;46.3
1448381288232;46.5
1448381288312;45.8
1448381288382;45.8
1448381288452;45.8
1448381288523;46.2
1448381288592;45.8
1448381288662;45.7
1448381288732;45.7
1448381288802;47.0
1448381288871;45.9
1448381288942;46.3
1448381289012;46.2
1448381289082;46.2
1448381289152;46.3
1448381289223;46.8
1448381289293;46.3
1448381289362;46.3
1448381289442;46.4
1448381289522;46.2
1448381289562;46.3
1448381289632;46.1
1448381289712;46.3
1448381289791;46.3
1448381289872;45.9
1448381289942;45.8
1448381290021;46.2
1448381290102;46.2
1448381290182;46.1
1448381290262;46.1
1448381290332;45.7
1448381290402;47.2
1448381290471;46.8
1448381290541;47.3
1448381290582;46.3
1448381290652;45.9
1448381290722;45.8
1448381290791;46.1
1448381290862;46.9
1448381290933;46.3
1448381291002;46.8
1448381291072;46.1
1448381291142;46.5
1448381291212;46.1
1448381291293;46.5
1448381291362;46.7
1448381291401;46.4
1448381291428;46.2
1448381291492;46.2
1448381291572;47.3
1448381291642;46.1
1448381291722;47.3
1448381291791;46.3
1448381291862;46.8
1448381291952;46.5
1448381292032;46.4
1448381292102;47.2
1448381292172;46.3
1448381292242;46.8
1448381292312;47.0
1448381292382;46.3
1448381292462;46.9
1448381292533;47.4
1448381292601;47.4
1448381292672;46.2
1448381292743;46.9
1448381292822;47.3
1448381292902;47.5
1448381292972;46.9
1448381293043;47.2
1448381293113;47.2
1448381293182;46.4
1448381293272;47.3
1448381293352;46.8
1448381293424;46.8
1448381293512;46.3
1448381293582;46.1
1448381293622;46.3
1448381293692;47.0
1448381293762;46.8
1448381293832;47.4
1448381293902;47.5
1448381293973;46.3
1448381294042;47.5
1448381294112;47.3
1448381294183;46.9
1448381294252;46.8
1448381294332;46.4
1448381294413;47.4
1448381294481;46.7
1448381294553;47.7
1448381294633;47.5
1448381294711;46.3
1448381294751;46.7
1448381294821;46.8
1448381294851;47.4
1448381294875;46.8
1448381294941;47.7
1448381294974;47.2
1448381294998;46.3
1448381295061;46.8
1448381295141;46.3
1448381295211;46.9
1448381295282;46.9
1448381295353;46.1
1448381295422;46.3
1448381295492;46.1
1448381295562;45.7
1448381295632;46.4
1448381295672;46.1
1448381295742;45.6
1448381295813;45.8
1448381295881;45.5
1448381295952;45.9
1448381296032;45.1
1448381296113;46.2
1448381296192;44.9
1448381296272;45.1
1448381296342;45.0
1448381296412;45.1
1448381296481;44.5
1448381296552;45.1
1448381296622;45.0
1448381296701;44.3
1448381296791;45.3
1448381296863;45.3
